sample_id	Intrahepatic.cholangiocyte	NK.Cell	Monocyte	Macrophage	Secretory.cell	Respiratory.ciliated.cell	Ionocyte.luminal.epithelial.cell.of.mammary.gland	Fibroblast.mesenchymal.stem.cell	Respiratory.secretory.cell	Mast.cell	Basal.cell	Endothelial.cell	neutrophil	B.cell	T.Cell	Erythrocyte.erythroid.progenitor	Platelet	Basophil	Stromal.cell	Mature.conventional.dendritic.cell	Adventitial.cell	Gland.cell	Salivary.bronchial.secretory.cell	Pericyte.cell	Myeloid.progenitor	Pancreatic.Stellate.cell	Pancreatic.alpha.beta.cell	Basal.prostate.cell	Prostate.epithelia	Salivary.gland.cell	Intestinal.enterocyte	Intestinal.secretory.cell	Intestinal.tuft.cell	Type.II.Pneumocyte	Cell.of.skeletal.muscle	Schwann.cell	Tendon.cell	Mesothelial.cell	Plasmablast	Kidney.epithelial.cell	Thymocyte
TBSQUARE_608_combined_61bp	4.95881341739477e-05	0.0134050442593764	0.0191879083718089	0.00116268089010253	1.81656887631119e-05	0.000956137297729095	0.0225880335386629	3.83218986584832e-05	1.15000879318398e-05	3.19489621751916e-05	9.30210461315011e-05	0.0938135152909401	5.17176006558885e-05	0.294126902126563	0.0739985901698171	0.0203313507073389	0.241406711306609	4.4827062817368e-05	2.58862472535657e-05	0.000230564923429438	3.88306370669009e-05	1.94215093169048e-05	1.53919438364857e-05	0.00125610396289742	0.0542588076782998	2.3219178130601e-05	0.000728231157126143	2.78632375554878e-05	3.06888405812339e-05	2.82498457577543e-05	0.00184377673780832	2.10005668738698e-05	0.155628923229773	4.01140307703822e-05	0.000604347329022611	0.00309707365554126	4.20703570465616e-05	4.14182761635439e-05	3.10162134063002e-05	0.000536457213906681	0.000114578788180616
TBSQUARE_609_combined_61bp	2.62275337594108e-05	0.111748219552994	0.122357254875523	0.000126853892903391	2.09465958340931e-05	0.000359119837789694	0.00294823205788098	4.38423521131274e-05	9.54722048526482e-06	4.04893443627338e-05	9.36315663230435e-05	0.0314052302840613	0.0218762550843599	0.121134203806118	0.0754098490166857	9.96407949132513e-05	0.350328924255158	4.18607039505259e-05	3.35290098359172e-05	0.000969564282302135	2.43706109844888e-05	1.45677099552683e-05	1.30438507639036e-05	0.00126091666817575	0.115944396418865	2.38266220423747e-05	0.000720313727058108	2.05292523829608e-05	7.72274609038126e-05	2.20624333194478e-05	3.28512472299548e-05	1.43419802372687e-05	0.0399269085346301	3.83251873373242e-05	0.00152190266314649	0.000598967818523385	6.54360220824971e-05	3.48760636488891e-05	4.3727471272188e-05	0.000394666996280257	0.000133319193807341
TBSQUARE_610_combined_61bp	4.1078903285586e-05	0.0838542273527735	0.0586080220022523	7.27426708101939e-05	3.39821247360553e-05	0.000391128129495974	0.00301383141848061	5.94872012602566e-05	1.87846611817244e-05	6.6928582109219e-05	4.53655015501858e-05	0.0683162005279071	5.02961522416987e-05	0.290074513188906	0.0815274218550606	0.0129438980535973	0.219062029461167	4.88846993548674e-05	3.5930332373761e-05	0.000274853142238121	3.58276498315297e-05	2.82692236942629e-05	2.41132366777852e-05	0.000309041362401402	0.146974827132862	4.00126319940864e-05	0.000273154945679593	3.18992914887602e-05	3.57254603940574e-05	2.68308171911425e-05	3.01224027772733e-05	2.92178656827326e-05	0.0278471608498743	5.3035127396547e-05	0.00076273230950165	0.00198646281222099	4.3232635840752e-05	3.19522085978014e-05	5.35533417684964e-05	0.000169938722912047	0.00267328401043159
TBSQUARE_611_combined_61bp	1.81366208628404e-05	0.0361534168607827	0.039734205298251	4.40613200650528e-05	1.39031553586668e-05	6.3431849447217e-05	2.09827304631981e-05	1.91999168604384e-05	7.91313751808686e-06	3.5553353345935e-05	8.17025959390249e-05	0.105950885364653	0.0927648183517874	0.155194475645336	0.0887145344433293	0.0120503985212805	0.228417711588541	3.53327076233318e-05	2.32593520386052e-05	0.000510852467680336	2.13335559630236e-05	1.52659071333011e-05	1.34791455285614e-05	3.06484456143999e-05	0.118606917180563	2.46112366775956e-05	2.4333165959088e-05	1.70217731945688e-05	2.05879971314552e-05	2.06622683645575e-05	1.53439981950787e-05	1.34660212075708e-05	0.120505716911595	2.9250375774212e-05	0.000106539299447725	0.000231361373742633	2.76201134892542e-05	2.2665189401538e-05	3.01864451459765e-05	0.000121514424490751	0.000246699890217685
TBSQUARE_612_combined_61bp	3.53015338804772e-05	0.0842162239974365	0.0238231684386611	6.87393590485728e-05	2.35937782497069e-05	9.6229489917682e-05	0.000103141744322496	3.14137624856391e-05	1.51417829748799e-05	3.55662172594043e-05	0.000112674986704868	0.053736688401338	9.84649431871012e-05	0.083774297889555	0.0188132396470536	0.0177613104698787	0.569723663980554	3.73617747112e-05	2.78565640312628e-05	0.00120272350011704	3.36278643556864e-05	1.47317297258773e-05	2.03897706634036e-05	0.00226500082576189	0.00957330295956008	2.92587418083688e-05	2.82534129228075e-05	3.46681091376609e-05	2.98324138245589e-05	2.55043104058881e-05	0.000109039547619538	2.28809073786412e-05	0.133598555548282	3.2060582822906e-05	8.53272226648337e-05	0.000159930884066604	3.21461281027701e-05	3.40295757955224e-05	2.89350819957281e-05	4.51183685127937e-05	6.06037532252875e-05
TBSQUARE_613_combined_61bp	9.4512548710763e-06	0.0250707877805311	2.4053626256628e-05	3.56537939566369e-05	8.14541318612638e-06	6.80897924638931e-05	0.0271233065035683	1.07176240937483e-05	4.87424384073906e-06	1.87373473920534e-05	8.47968560080076e-06	0.021721881603762	0.0166849085499351	0.0469150817870278	0.0168907961479536	3.25590291155199e-05	0.791906836401221	1.48928094112004e-05	1.09523047136246e-05	7.22260952168277e-05	9.26859885665998e-06	6.60181399974028e-06	7.44616190291662e-06	0.000515037486209476	0.000540362285726591	9.32337728965726e-06	1.67566830083868e-05	9.76763818699804e-06	8.94141369220255e-06	1.06853401201028e-05	0.00942674391309527	8.01208305083375e-06	0.0418825706270706	1.38330284096086e-05	1.86273770564485e-05	0.000797745209150176	1.9058726055798e-05	1.26107102197325e-05	1.39677823658418e-05	1.10936543994684e-05	2.9114296015756e-05
TBSQUARE_614_combined_61bp	3.07308993082384e-05	0.0273471778087111	0.093678307851159	8.74221936389811e-05	2.51823349171264e-05	0.00158558799155277	0.0179899484093012	0.000303178859826654	1.14520349758511e-05	3.67026804592355e-05	4.03664654739287e-05	0.0886606963304368	7.77710818330658e-05	0.174255595667961	0.0665871616216579	0.0476059137463831	0.351156897625764	4.63417656574783e-05	4.52121305061094e-05	0.000493963288207404	0.00642139988260473	1.57397235403178e-05	1.71365069968091e-05	0.0165109450301923	0.0416554206404745	3.98211257518211e-05	0.000606894119630858	2.92367607780575e-05	3.28257224244586e-05	2.84489659965336e-05	0.000176323895466075	2.14598106410871e-05	0.0492181191353886	3.33543517398667e-05	0.00205835839337924	0.0118195413330997	0.000290972871547506	7.0959509280593e-05	3.13279366285306e-05	0.000822637704616331	3.34657920910761e-05
TBSQUARE_616_combined_61bp	3.50092383780759e-05	0.118985348148944	0.268360927059634	0.00322538818287326	2.61533669717775e-05	0.00092992446615788	2.86707846581628e-05	3.55703782161101e-05	1.26322029560408e-05	5.94280652377175e-05	2.79625865023933e-05	0.0512931285274921	5.06378799222622e-05	0.147463806694601	0.085712149373565	0.00170152106063383	0.135502075516595	3.753761090955e-05	4.10754235000145e-05	0.0273467424672086	4.56014160720073e-05	1.94352523942931e-05	1.80476466101434e-05	6.26390401412862e-05	0.146522158776559	3.78975470038017e-05	0.000188548134533259	2.52956453443062e-05	2.29795239850813e-05	3.76789021452014e-05	2.71573435130847e-05	2.08785517226096e-05	0.00973425052437266	4.31736928957049e-05	0.000325858117862924	0.000733276863276932	6.75787109789447e-05	3.720190717632e-05	5.04930040208844e-05	0.000492034310056646	0.000612126054377568
TBSQUARE_617_combined_61bp	0.00326603610192446	0.050743316516995	0.091708125078622	0.0112934678942407	1.38490208764263e-05	0.0151037908760118	0.0184170936436925	4.11095923051135e-05	8.6873572635013e-06	1.98406852852919e-05	2.22570470193054e-05	0.0569985709861306	0.00531560288117854	0.125469498393046	0.0251322506204772	3.3492088565311e-05	0.39844307572213	2.79541659851421e-05	1.78119976724465e-05	0.00894303922907803	0.00208018714475184	1.11343000929946e-05	1.34567477620106e-05	0.0151556132730646	0.0528493659342473	1.66911555840781e-05	0.0068874554974864	1.82215042690995e-05	0.000355429551543955	1.66130958704473e-05	0.0127010193512969	0.000105628973254467	0.0798473667529062	1.39938504625595e-05	0.000438152598670807	0.00879202220859231	0.000154602060084628	0.000196785318270718	3.24617288221998e-05	0.0040611196732417	0.00523380938122588
TBSQUARE_618_combined_61bp	2.25916022835148e-05	0.0230847580510928	0.000123935830477942	0.0410807997772797	1.10983510533646e-05	0.000265817792516456	0.0151515431626765	1.14639190516132e-05	4.87900210665109e-06	2.1977957767344e-05	2.58629675518869e-05	0.084931697470569	0.0158356493970495	0.203732272305247	0.070945237223868	0.023794002560282	0.262599961463768	2.29453893319132e-05	1.12613111287864e-05	0.000350245995349081	1.36981004439237e-05	7.05492701131546e-06	6.63715647638828e-06	0.00131712577703501	0.0723483025681773	1.50024097795089e-05	0.000115486680607087	9.64124694516317e-06	1.49332599783032e-05	1.175765917072e-05	0.00354112862986757	9.03796971044105e-06	0.179682340169744	1.63858977084984e-05	0.00026016832826101	0.000312398883410235	1.35440173814288e-05	1.68694085729794e-05	2.06562895649865e-05	0.000138204013824944	0.000101625075877994
