sample_id	project_id	prep_type	path
R2D2_U316_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U314_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U315_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U312_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U323_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U329_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_U332_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_V159_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_V160_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_V162_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_V165_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_V166_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_V167_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_V172_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_V190_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
R2D2_V218_combined_61bp	mtb_cfrna	SMARTer_pico_v3	/workdir/cjl332/tb-cfrna/0_ALIGN/fastqs_61bp/
